date,w1,w2,signal1,signal2
2024-04-19,0.9,0.09999999999999998,-0.2026310361754809,-2.1147037371729898
2024-05-10,0.1,0.9,-1.2700492675931112,0.17171443405271244
2024-06-03,0.1,0.9,3.5024187632458306,8.460168670728875
2024-06-25,0.1,0.9,3.4083997562442967,6.557929205810905
2024-07-17,0.9,0.09999999999999998,15.592133221477594,14.555713816829307
2024-08-07,0.9,0.09999999999999998,-1.9228196473546944,-2.444650560148168
2024-08-28,0.9,0.09999999999999998,1.074027362321787,-0.16673326717307796
2024-09-19,0.9,0.09999999999999998,7.4533061992450165,6.402928757850922
2024-10-10,0.9,0.09999999999999998,3.3122171687530315,2.875653896768911
2024-10-31,0.1,0.9,3.971891512673468,4.762400016716342
2024-11-21,0.1,0.9,6.102462181949168,8.657604188390387
2024-12-13,0.1,0.9,11.457030141235302,13.267295823312903
