lookback,rebalance_freq,signal,alloc_params,dd_penalty,total_return,ann_return,sharpe,max_dd,calmar,sortino,score
10,20,composite_sm_2.0,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.8379788632553815,0.2329991999263119,1.0383275636163893,-0.29535315067753565,0.7888833808035617,1.1005607492675085,1.0097157790036295
10,20,composite_sm_2.0,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.8379673074663527,0.23299819180971615,1.038323151945802,-0.29535315067753565,0.7888799675453679,1.100555441159141,1.0097119076821133
10,20,composite_sm_2.0,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.8379537464783802,0.23299700875719198,1.0383180035816217,-0.29535315067753565,0.7888759619930946,1.1005492283106761,1.0097073759929138
10,20,composite_all,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.837767584090193,0.23298076760443842,1.0383737182769779,-0.29535315067753565,0.7888209730682553,1.1046878873104315,1.0096951225796138
10,20,composite_all,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.8374486750189498,0.2329529434054518,1.0382531617944601,-0.29535315067753565,0.7887267665294704,1.1045485153338483,1.0095887562910468
10,20,composite_sm_1.0,"{'style': 'discrete', 'lo_thresh': 0.1, 'hi_thresh': 0.3, 'w_lo': 0.7, 'w_hi': 0.9}",2.0,1.8365533669752967,0.23287481615247319,1.037738102395586,-0.29535315067753565,0.7884622450569411,1.0998753643704273,1.0092203370920991
10,20,composite_sm_1.0,"{'style': 'discrete', 'lo_thresh': 0.1, 'hi_thresh': 0.3, 'w_lo': 0.7, 'w_hi': 0.9}",1.0,1.8365533669752967,0.23287481615247319,1.037738102395586,-0.29535315067753565,0.7884622450569411,1.0998753643704273,1.0092203370920991
10,20,composite_sm_1.0,"{'style': 'discrete', 'lo_thresh': 0.1, 'hi_thresh': 0.3, 'w_lo': 0.7, 'w_hi': 0.9}",0.0,1.8365533669752967,0.23287481615247319,1.037738102395586,-0.29535315067753565,0.7884622450569411,1.0998753643704273,1.0092203370920991
10,20,sharpe,"{'style': 'softmax', 'k': 3.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.8274565366051294,0.2320798800751207,1.0277212058640806,-0.3011376616948842,0.7706770088541643,1.0905295276142963,1.0086962311059053
10,20,sharpe,"{'style': 'softmax', 'k': 3.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.8274754186499447,0.2320815322180192,1.0279598458674493,-0.30098449010432393,0.7710746969946215,1.0908292973488143,1.0086587210672482
10,20,sharpe,"{'style': 'softmax', 'k': 3.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.827491927960153,0.23208297674394096,1.0281952034000088,-0.3008327825738023,0.7714683454497562,1.0911251402302253,1.0086207700957874
10,20,composite_sm_2.0,"{'style': 'softmax', 'k': 3.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.8331009196772348,0.23257336064386558,1.0367200290507188,-0.29535315067753565,0.7874415838663986,1.099570670452627,1.0081822939754066
10,20,sharpe,"{'style': 'discrete', 'lo_thresh': 0.2, 'hi_thresh': 0.5, 'w_lo': 0.7, 'w_hi': 0.9}",0.0,1.8264099439798889,0.23198829142447464,1.0288122409379996,-0.30026086557193055,0.7726224436753149,1.0918730765342755,1.0081602234251108
10,20,sharpe,"{'style': 'discrete', 'lo_thresh': 0.2, 'hi_thresh': 0.5, 'w_lo': 0.7, 'w_hi': 0.9}",2.0,1.8264099439798889,0.23198829142447464,1.0288122409379996,-0.30026086557193055,0.7726224436753149,1.0918730765342755,1.0081602234251108
10,20,sharpe,"{'style': 'discrete', 'lo_thresh': 0.2, 'hi_thresh': 0.5, 'w_lo': 0.7, 'w_hi': 0.9}",1.0,1.8264099439798889,0.23198829142447464,1.0288122409379996,-0.30026086557193055,0.7726224436753149,1.0918730765342755,1.0081602234251108
10,20,composite_sm_2.0,"{'style': 'softmax', 'k': 3.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.8330156232804944,0.23256590914812936,1.0366882023049606,-0.29535315067753565,0.7874163547619626,1.0995356113824195,1.0081540100052473
10,20,composite_sm_2.0,"{'style': 'softmax', 'k': 3.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.8329287220557862,0.2325583172701795,1.0366557882130618,-0.29535315067753565,0.7873906503546272,1.099499894416106,1.0081251984117698
10,20,composite_sm_1.0,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.8308136005736393,0.2323734782869351,1.0359223192920342,-0.29535315067753565,0.7867648267378412,1.0985981609109077,1.0074458670651902
10,20,composite_sm_1.0,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.8307712561539389,0.2323697767109718,1.0359150292245585,-0.29535315067753565,0.7867522940263076,1.0985879953737614,1.0074351894310105
10,20,composite_sm_1.0,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.8307273290054922,0.232365936732571,1.0359074894795013,-0.29535315067753565,0.7867392927149555,1.0985774453163344,1.007424121708114
30,20,sharpe,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.8225775585794906,0.231652682994955,1.0329333309692603,-0.2982004653939615,0.7768353913215993,1.0941086443176675,1.0072633768993609
10,20,composite_sm_0.5,"{'style': 'discrete', 'lo_thresh': 0.1, 'hi_thresh': 0.3, 'w_lo': 0.7, 'w_hi': 0.9}",0.0,1.827805328751321,0.232110397299641,1.036443956908983,-0.29535315067753565,0.7858740931269647,1.0972970333165764,1.0070981841130424
10,20,composite_sm_0.5,"{'style': 'discrete', 'lo_thresh': 0.1, 'hi_thresh': 0.3, 'w_lo': 0.7, 'w_hi': 0.9}",1.0,1.827805328751321,0.232110397299641,1.036443956908983,-0.29535315067753565,0.7858740931269647,1.0972970333165764,1.0070981841130424
